Table S2. The 199 full text records screened with reasons for exclusion.;;;;;;;;;;;;;;
source;title;year;journal;volume;issue;pages;authors;coop_breeding_definition;data_available;territory_area;group_size_definition;decision;notes;
scopus / web of science;Land use, lag times and the detection of demographic change: The case of the acorn woodpecker;1996;CONSERVATION BIOLOGY;10;3;840-846;Ligon, JD and Stacey, PB;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Habitat fragmentation shapes natal dispersal and sociality in an Afrotropical cooperative breeder;2020;PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;287;1941;;Cousseau, Laurence and Hammers, Martijn and Van de Loock, Dries and Apfelbeck, Beate and Githiru, Mwangi and Matthysen, Erik and Lens, Luc;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Delayed dispersal in western bluebirds: teasing apart the importance of resources and parents;2014;BEHAVIORAL ECOLOGY;25;4;843-851;Dickinson, Janis L. and Ferree, Elise D. and Stern, Caitlin A. and Swift, Rose and Zuckerberg, Benjamin;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Relationships of red-cockaded woodpecker reproduction and foraging habitat characteristics in Arkansas and Louisiana;2008;EUROPEAN JOURNAL OF WILDLIFE RESEARCH;54;4;601-608;Butler, Matthew J. and Tappe, Philip A.;yes;no;NA;NA;exclude;Tables 3 and 4 have summary data, but not pared by group size, just pair vs group;
scopus / web of science;Habitat selection in two Australasian treecreepers: what cues should they use?;2006;EMU;106;2;93-103;Doerr, VAJ and Doerr, ED and Jenkins, SH;yes;no;NA;NA;exclude;relationship between group size and territory quality not reported and no supp data;
scopus / web of science;Test of the ecological basis of cooperative breeding in red-cockaded woodpeckers;1992;AUK;109;1;90-97;Walters, JR, Copeyon, CK and Carter JH;yes;no;NA;NA;exclude;territory quality experimentally manipulated / created but group size not reported;
scopus / web of science;Annual reproductive yield in the cooperative pygmy nutchath (Sitta pygmaea);1988;AUK;105;1;70-77;Sydeman, WJ, Guntert, M and Balda, RP;yes;no;NA;NA;exclude;habitat quality differs between WCNM and CNF but group size not reported;
scopus / web of science;Reproductive enhancement by helpers and an experimental inquiry into its mechanism in the bicolored wren;1985;BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY;17;1;19-27;Austad, SN and Rabenold, KN;yes;no;NA;NA;exclude;group size compared between Merecure and Maluenga, which differ in average territory size, but no continuous measure of territory quality;
scopus / web of science;Manipulating carer number versus brood size: complementary but not equivalent ways of quantifying carer effects on offspring;2016;BEHAVIORAL ECOLOGY;27;4;1247-1254;Liebl, A. L. and Browning, L. E. and Russell, A. F.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Brood sex allocation in the neotropical cooperative White-banded Tanager Neothraupis fasciata;2014;JOURNAL OF ORNITHOLOGY;155;3;713-719;Gressler, Daniel Tourem and Pereira, Zelia da Paz and Marini, Miguel Angelo;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;Maternal effects and range expansion: a key factor in a dynamic process?;2009;PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;364;1520;1075-1086;Duckworth, Renee A.;yes;no;NA;NA;exclude;no usable data or results reported;
scopus / web of science;No evidence for adaptive suppression of joint laying by dominant female Seychelles warblers: an experimental study;2005;BEHAVIOUR;142;;1669-1684;Komdeur, J;yes;no;NA;NA;exclude;number of pairs and trios reported for low and high quality territories in the methods, but these are not a random sample;
scopus / web of science;Dispersal strategies in Tasmanian native hens (Gallinula mortierii);2002;BEHAVIORAL ECOLOGY;13;3;328-336;Goldizen, AW and Putland, DA and Robertson, KA;yes;no;NA;NA;exclude;territory quality and dispersal investigated, but not group size;
